,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_rava,16,0.044351875000000006,16,0.0007043749999999999,0.45535402543306497,0.015881515719459432,0.03446031792073398,0.22657659032882593,21,0.009711428571428572,21,0.0008571428571428571,0.7151954647316984,0.08826125330979699,0.005730025434212444,0.04566656633932949
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_vaginalis,16,0.133654375,16,0.36298562500000003,0.2097507355501743,2.7158529228841184,0.5762867983413401,0.7732827957335329,21,0.8146552380952381,21,0.0001919047619047619,1.0824085159036307,0.00023556561466843114,0.006590684741032721,0.049524288196903014
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas|s__Aeromonas_caviae,16,0.037096875,16,0.01534375,0.1938627636554967,0.4136130064863954,0.6281674133333914,0.8098432828758919,21,0.2261142857142857,21,0.0009571428571428571,1.0779621456174802,0.004233004801617387,0.006590684741032721,0.049524288196903014
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448,16,0.0030975,16,0.31189625,0.5215027259423279,100.69289749798224,0.13764333393358333,0.42270865154164555,21,0.004507619047619048,21,0.19377666666666665,0.9756196117749208,42.98869638706951,0.007605747739677219,0.05556421265375302
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp_oral_taxon_225,16,0.0008831250000000001,16,0.0,0.8731417609878931,0.0,0.0185149253682742,0.15216954287050358,21,0.0007028571428571429,21,0.0,0.867093567505408,0.0,0.009696054378416613,0.05571019161275686
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus,16,0.00034,16,0.164845625,0.621353695309826,484.8400735294117,0.027127103233491726,0.19817855973356455,21,0.0005133333333333333,21,0.25711666666666666,0.7507096530800325,500.8766233766234,0.009471791725641556,0.05571019161275686
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_sp_oral_taxon_332,16,0.10465187499999999,16,0.0,0.35688352852355304,0.0,0.0185149253682742,0.15216954287050358,21,0.1587457142857143,21,0.0,0.44987796884444925,0.0,0.009696054378416613,0.05571019161275686
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_hwasookii,16,0.011261875,16,0.0,0.36012903816813846,0.0,0.16394023748002984,0.42270865154164555,21,0.017457142857142855,21,0.0,0.46509590056665234,0.0,0.009696054378416613,0.05571019161275686
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_macacae,16,0.012269374999999999,16,0.0,0.35815852355398503,0.0,0.16394023748002984,0.42270865154164555,21,0.01892285714285714,21,0.0,0.45989186005631766,0.0,0.009696054378416613,0.05571019161275686
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp_oral_taxon_498,16,0.018411875,16,0.0,0.5250367445178357,0.0,0.07995295353294264,0.31384517580841664,21,0.01296285714285714,21,0.0,0.5053983496086663,0.0,0.009696054378416613,0.05571019161275686
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_baroniae,16,0.005424375,16,0.016093125,0.3155311258042889,2.9668164535084687,0.6547439883879519,0.8278734083943815,21,0.0,21,0.031023333333333333,0.6925170852354908,inf,0.009743987886641884,0.05571019161275686
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_exigua,16,0.0035074999999999998,16,0.016421875,0.43127219917398074,4.681931575196009,0.8681515520728538,0.9884149705418206,21,0.020538095238095237,21,0.005626666666666667,0.6529541868674357,0.27396243913749135,0.00972941369780022,0.05571019161275686
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Fretibacterium|s__Fretibacterium_fastidiosum,16,0.008355625,16,0.042353125,0.6021898416622093,5.068815917420899,0.4629308210731202,0.6763933663457257,21,0.03917142857142856,21,0.020501904761904763,0.40146904178944476,0.5233892535861904,0.009539226490627597,0.05571019161275686
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae,16,0.01364625,16,0.12818875000000002,0.43676934592806305,9.393697902354127,0.7884615373390138,0.9298896157854737,21,0.014887619047619049,21,0.0,0.8728273762331292,0.0,0.009696054378416613,0.05571019161275686
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_sp_oral_taxon_458,16,0.025418125,16,0.0311525,0.07221503138690391,1.2256018097322285,0.029086320685790142,0.20130795632533705,21,0.028293809523809516,21,0.042255238095238096,0.14667027654446563,1.493444637056735,0.010602216388173557,0.05932729595935416
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_oral_taxon_299,16,0.012888125,16,0.00018,0.8801090225891325,0.013966344988118908,0.011495139902996112,0.15116108972439887,21,0.016436190476190476,21,0.00013714285714285716,0.8220589053410087,0.008343956426005333,0.015310085007804737,0.08388650743859678
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Pseudoramibacter|s__Pseudoramibacter_alactolyticus,16,0.009186875,16,0.031730625,0.2984692463864204,3.4539084291448394,0.3252607609930499,0.5423424523619249,21,0.05599619047619047,21,0.0022104761904761907,1.03522044227433,0.03947547452207634,0.016886515804917866,0.08562824694749493
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_fermentum,16,0.080505625,16,0.218626875,0.20972868756920074,2.7156720415498916,0.5762867983413401,0.7732827957335329,21,0.49070095238095246,21,0.00021047619047619048,1.0821989552624074,0.00042892965553649194,0.016886515804917866,0.08562824694749493
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas|s__Selenomonas_flueggei,16,0.038485625,16,0.00022,0.4374020482404995,0.005716420091917436,0.017377960497953877,0.15216954287050358,21,0.054382380952380946,21,0.00016761904761904763,0.5184268168930848,0.0030822307645158187,0.016930299776691013,0.08562824694749493
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_uli,16,0.01032625,16,0.029919375,0.23262786528592933,2.8974095145866117,0.3252607609930499,0.5423424523619249,21,0.06294095238095239,21,0.0014433333333333334,1.0561143959250252,0.022931545817697612,0.01689459162415055,0.08562824694749493
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,16,1.1372687500000003,16,1.1127775,0.010828542580855381,0.9784648527447886,0.23545086460482745,0.5292613452228173,21,1.06712,21,0.5046290476190476,0.34462326927955594,0.47288875442222766,0.01743283715375088,0.0865063428572921
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414,16,0.0,16,0.023998125000000002,0.5641546057114628,inf,0.07995295353294264,0.31384517580841664,21,0.0,21,0.031142380952380956,0.6323744813508378,inf,0.019968991770600106,0.0938575364059508
